Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m)
BGK,27,11,16,7,5,50,21,49,35,15,3,2,1,6,4,2,6,0,0,548.44,325.24,13.06,7.74,322.55,94.01,9.22,2.69
CZD,6,3,3,0,0,5,3,5,3,2,0,0,0,4,1,3,0,0,0,22.43,-3.80,7.48,-1.27,34.98,27.92,11.66,9.31
Gary Gong,67,38,29,18,14,85,41,80,60,25,9,2,5,21,12,9,9,0,0,805.13,421.38,12.78,6.69,758.58,425.69,12.64,7.09
Kaylee,57,37,20,21,13,74,37,69,65,9,2,5,5,24,14,10,3,0,0,608.90,297.27,11.49,5.61,789.90,458.36,12.15,7.05
Gary Hu,30,13,17,5,10,40,20,39,22,18,2,1,1,8,6,2,1,0,0,355.20,183.35,11.84,6.11,212.08,73.04,9.64,3.32
Wayne Wang,13,4,9,0,3,14,8,14,8,6,0,1,0,2,2,0,0,0,0,109.62,3.46,10.96,0.35,79.88,31.89,9.99,3.99
Ethan,6,5,1,3,1,5,2,4,5,0,1,0,1,2,1,1,0,0,0,28.76,7.13,9.59,2.38,93.56,92.63,18.71,18.53
Gordon,35,26,9,13,5,74,29,74,47,27,4,3,0,16,14,2,1,0,0,671.35,581.00,13.43,11.62,463.82,45.23,9.87,0.96
SA,42,20,22,9,14,65,31,63,38,27,5,1,2,11,8,3,4,0,0,704.38,327.87,13.29,6.19,463.01,107.29,12.18,2.82
DJJ,20,11,9,5,6,37,13,33,31,6,2,1,4,2,2,0,2,0,0,372.05,161.92,12.40,5.40,410.18,191.59,13.23,6.18
Albert Kwek,62,33,29,17,14,161,50,158,109,52,6,8,3,19,18,1,6,0,0,"1,633.31",807.66,13.07,6.46,"1,049.22",179.84,9.63,1.65
Taozi,29,13,16,5,8,14,12,9,14,0,0,0,5,10,1,9,3,0,0,77.75,37.25,11.11,5.32,251.74,221.85,17.98,15.85
TARA,14,9,5,5,3,6,6,5,6,0,0,0,1,1,0,1,0,0,0,40.09,11.77,8.02,2.35,98.15,94.70,16.36,15.78
Vishnu,5,4,1,3,0,9,4,8,7,2,1,0,1,0,0,0,0,0,0,128.83,110.04,16.10,13.76,124.77,43.94,17.82,6.28
Wenyu Zhu,44,21,23,8,11,41,28,40,28,13,6,1,1,5,3,2,1,0,0,386.38,164.76,12.07,5.15,364.74,194.10,13.03,6.93
Olivia ,69,40,29,19,18,37,28,29,36,1,2,6,8,13,4,9,4,0,0,267.77,101.92,10.71,4.08,568.12,471.09,15.78,13.09
Lina,41,22,19,12,12,6,6,6,6,0,1,0,0,4,0,4,1,0,0,67.92,12.41,11.32,2.07,75.42,70.65,12.57,11.77
JF,23,12,11,4,6,67,20,65,54,13,7,0,2,19,14,5,8,0,0,649.84,391.64,13.54,8.16,681.33,344.09,12.62,6.37
Sky,29,15,14,8,5,12,11,11,10,2,0,1,1,7,3,4,0,0,0,41.85,8.56,8.37,1.71,123.52,82.04,12.35,8.20
Mini,26,13,13,6,4,10,6,9,10,0,0,0,1,5,2,3,0,0,0,56.36,-11.36,8.05,-1.62,131.96,127.37,13.20,12.74
Leo,45,26,19,14,10,71,33,60,56,15,7,5,11,19,12,7,8,0,0,675.12,336.85,15.34,7.66,863.37,645.39,15.42,11.52
Avery Qi,44,22,22,9,11,43,27,38,41,2,0,2,5,7,3,4,0,0,0,288.75,43.27,9.02,1.35,537.66,257.54,13.11,6.28
Chris,22,14,8,5,5,58,19,57,36,22,1,2,1,6,5,1,2,0,0,612.96,354.12,12.26,7.08,406.64,83.26,11.30,2.31
Shellz,29,11,18,3,8,14,9,14,11,3,0,0,0,4,2,2,0,0,0,94.08,-15.30,7.84,-1.28,122.01,74.11,11.09,6.74
++1,28,13,15,8,5,16,10,16,12,4,1,0,0,9,4,5,0,0,0,131.80,48.89,10.98,4.07,178.24,98.66,14.85,8.22
Luo Wei,50,28,22,12,12,16,12,14,15,1,1,0,2,6,3,3,1,0,0,82.57,27.70,8.26,2.77,232.77,175.42,15.52,11.69